u

Блок 1Aerogel
Название блока данных:     Aerogel
Дата регистрации данных:   03.05.2024
Время регистрации данных:  13-17-06
Комментарий пользователя:  Aerogel
Прибор:        P-20X8
Номер канала:  1

Цикл 2, Шаг 1
Физический номер цикла: 2
Комментарий пользователя к шагу данных: 
Приборный комментарий: Шаг завершен по пределу потенциала
Тип работы: Гальваностат
Потенциал РЦ "До" (Вольт)     : не измерялся
Потенциал РЦ "После" (Вольт)  : не измерялся
Потенциал установления (Вольт): не измерялся
Ток установления (Ампер)      : не измерялся
Скорость развертки: 0 A/с.
Количество точек данных: 681
Время, с.,                   Потенциал, В,                   Ток, А
820                0,764958024025                0,000600105908                
822                0,764958024025                0,000600105908                
824                0,765173971653                0,000600105908                
826                0,765390992165                0,000600105908                
828                0,765606999397                0,000600105908                
830                0,765606999397                0,000600105908                
832                0,76582300663                0,000600105908                
834                0,766040027142                0,000600105908                
836                0,76625597477                0,000600105908                
838                0,76625597477                0,000600105908                
840                0,766472995281                0,000600105908                
842                0,766689002514                0,000600105908                
844                0,766905009747                0,000600105908                
846                0,767121970654                0,000600105908                
848                0,767121970654                0,000600105908                
850                0,767337977886                0,000600105908                
852                0,767553985119                0,000600105908                
854                0,76777100563                0,000600105908                
856                0,76777100563                0,000600105908                
858                0,767987012863                0,000600105908                
860                0,76820397377                0,000600105908                
862                0,768419981003                0,000600105908                
864                0,768419981003                0,000600105908                
866                0,768635988235                0,000600105908                
868                0,768853008747                0,000600105908                
870                0,768853008747                0,000600105908                
872                0,76906901598                0,000600105908                
874                0,769285976887                0,000600105908                
876                0,769501984119                0,000600105908                
878                0,769501984119                0,000600105908                
880                0,769717991352                0,000600105908                
882                0,769935011864                0,000600105908                
884                0,770151019096                0,000600105908                
886                0,770151019096                0,000600105908                
888                0,770367980003                0,000600105908                
890                0,770583987236                0,000600105908                
892                0,770583987236                0,000600105908                
894                0,770799994469                0,000600105908                
896                0,77101701498                0,000600105908                
898                0,77101701498                0,000600105908                
900                0,771233022213                0,000600105908                
902                0,77144998312                0,000600105908                
904                0,771665990353                0,000600105908                
906                0,771665990353                0,000600105908                
908                0,771881997585                0,000600105908                
910                0,772099018097                0,000600105908                
912                0,772099018097                0,000600105908                
914                0,77231502533                0,000600105908                
916                0,772531986237                0,000600105908                
918                0,772531986237                0,000600105908                
920                0,772747993469                0,000600105908                
922                0,772964000702                0,000600105908                
924                0,772964000702                0,000600105908                
926                0,773181021214                0,000600105908                
928                0,773397028446                0,000600105908                
930                0,773397028446                0,000600105908                
932                0,773613989353                0,000600105908                
934                0,773829996586                0,000600105908                
936                0,773829996586                0,000600105908                
938                0,774046003819                0,000600105908                
940                0,77426302433                0,000600105908                
942                0,77426302433                0,000600105908                
